source_pdf,source_sha256,page,visual_row,y_center,word_count,row_text,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,1,86.37718963623047,9,Liste de sondages sur l'élection présidentielle française de 2022,Liste de sondages sur l'élection présidentielle française de 2022,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,2,114.80078125,15,Cette page dresse la liste des sondages d'opinions relatifs à l'élection présidentielle française de 2022.,Cette page dresse la liste des sondages d'opinions relatifs à l'élection présidentielle française de 2022.,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,3,129.3406219482422,4,"N 1, 1, 2","N 1, 1, 2",,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,4,133.30078125,24,"Tous les sondages de cette liste, sauf mention contraire, se conforment aux règles de la Commission des sondages et appliquent la méthode dite des","Tous les sondages de cette liste, sauf mention contraire, se conforment aux règles de la Commission des sondages",et appliquent la méthode dite des,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,5,143.80078125,1,quotas.,quotas.,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,6,162.80078125,25,Une couleur arbitraire est associée à chaque institut de sondage ; ces couleurs sont une aide visuelle et ne correspondent pas à une tendance politique.,Une couleur arbitraire est associée à chaque institut de sondage ; ces couleurs sont une aide visuelle et ne correspondent pas à une tendance politique.,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,7,193.951171875,3,Intervalle de confiance,Intervalle de confiance,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,8,215.30078125,17,La plupart des sondages sont publiés accompagnés d'une présentation des intervalles de confiance à 95 %. Le,La plupart des sondages sont publiés accompagnés d'une présentation des intervalles de confiance à 95 %. Le,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,9,225.80078125,14,tableau résume les intervalles de confiance selon la taille de l’échantillon (ou du sous-échantillon).,tableau résume les intervalles de confiance selon la taille de l’échantillon (ou du sous-échantillon).,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,10,244.80078125,20,"Si pour un échantillon (sous-échantillon) de 1 000 personnes le candidat reçoit 10 % (ou 90 %) d'intentions de vote,","Si pour un échantillon (sous-échantillon) de 1 000 personnes le candidat reçoit 10 % (ou 90 %) d'intentions de vote,",,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,11,255.30078125,25,l'incertitude est de 3 points pour un niveau de confiance de 95 %. Il y a donc 95 % de chance que son score soit,l'incertitude est de 3 points pour un niveau de confiance de 95 %. Il y a donc 95 % de chance que son score soit,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,12,261.8406219482422,2,N 2,N 2,,,,,,,,,,,,,,,
Liste_de_sondages_sur_l'élection_présidentielle_française_de_2022.pdf,013d61d1d69e82307ad6f465567c76ea3e51de3b509867a0c0efc41b86712555,1,13,265.80078125,13,compris entre 7 et 13 % (respectivement 87 % - 93 %) .,compris entre 7 et 13 % (respectivement 87 % - 93 %) .,,,,,,,,,,,,,,,
