poll_id,source_url,source_name,polling_company,commissioner,media_partner,fieldwork_start_date,fieldwork_end_date,publication_date,sample_size,population,collection_method,quota_method,round,scenario_name,candidate_name,candidate_party,political_family,estimate_percent,lower_bound_percent,upper_bound_percent,margin_of_error,undecided_percent,abstention_estimate,registered_voters_basis,raw_text_context,extraction_confidence
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Arthaud,,far_left,0.5,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Roussel,PCF,left,2.5,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Mélenchon,LFI,left,16,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Glucksmann,PS-PP,centre_left,11,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Tondelier,EELV,greens,4,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Philippe,HOR,centre,17,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Retailleau,LR,right,9,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Dupont-Aignan,DLF,sovereigntist_right,2,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Bardella,RN,nationalist_right,32,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
V2-FR-ODOXA-001,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,wikipedia_excel_v2,Odoxa,,,2026-05-20,2026-05-21,2026-05-21,1005.0,unknown,unknown,unknown,first_round,March 2025 onwards - scenario 1 - Odoxa,Zemmour,REC,far_right,6,,,,,,,0.5 – 2.5 16 – – – 11 4 – – – – 17 – – – 9 – 2 32 – – 6 – – –,0.8
