column,value,count_before,count_after
candidate_party,DLF,75,75
candidate_party,EELV,0,51
candidate_party,HOR,62,62
candidate_party,LE,51,0
candidate_party,LFH,21,21
candidate_party,LFI,119,119
candidate_party,LO,104,104
candidate_party,LR,79,79
candidate_party,MoDem,25,25
candidate_party,NPA-A,37,37
candidate_party,PCF,90,90
candidate_party,PP,83,83
candidate_party,PS,17,17
candidate_party,RE,46,46
candidate_party,REC,105,105
candidate_party,RN,152,152
political_family,centre,108,108
political_family,centre_droit,25,25
political_family,centre_gauche,100,100
political_family,droite,7,7
political_family,droite_gaulliste,21,21
political_family,droite_nationale,61,61
political_family,droite_souverainiste,17,17
political_family,extrême_droite,8,8
political_family,far_left,141,141
political_family,far_right,94,94
political_family,gauche,9,9
political_family,gauche_radicale,5,5
political_family,generic_bloc,29,29
political_family,hors_champ,8,8
political_family,left,203,203
political_family,nationalist_right,88,88
political_family,right,69,69
political_family,sovereigntist_right,72,72
political_family,écologistes,51,51
