column,value,count_before,count_after
candidate_party,DLF,195,195
candidate_party,EELV,184,184
candidate_party,HOR,209,209
candidate_party,LFH,113,113
candidate_party,LFI,196,196
candidate_party,LO,195,195
candidate_party,LR,196,196
candidate_party,MoDem,4,4
candidate_party,NFP,3,0
candidate_party,NPA-A,118,118
candidate_party,PCF,188,188
candidate_party,PP,103,103
candidate_party,PS,91,91
candidate_party,RE,153,153
candidate_party,REC,194,194
candidate_party,RES,65,65
candidate_party,RN,226,226
political_family,centre,143,143
political_family,centre_droit,223,223
political_family,centre_gauche,194,194
political_family,droite,196,196
political_family,droite_gaulliste,113,113
political_family,droite_nationale,226,226
political_family,droite_souverainiste,260,260
political_family,extrême_droite,194,194
political_family,extrême_gauche,313,313
political_family,gauche,204,204
political_family,gauche_radicale,196,196
political_family,generic_bloc,3,3
political_family,écologistes,184,184
