election_round,bloc_label,bloc_name,percent_expressed,source_url,source_label
first_round,far_right,Bloc RN et extrême droite,34.44,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
first_round,left,Bloc gauche,31.49,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
first_round,centre,Bloc centre présidentiel et centre divers,22.94,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
first_round,right,Bloc droite parlementaire,10.17,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
first_round,regionalist,Régionalistes,0.97,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
second_round,far_right,Bloc RN et extrême droite,37.21,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
second_round,left,Bloc gauche,27.42,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
second_round,centre,Bloc centre présidentiel et centre divers,25.32,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
second_round,right,Bloc droite parlementaire,9.01,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
second_round,regionalist,Régionalistes,1.06,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/index.php,Ministère de l'Intérieur législatives 2024
