source_page,source_url,page_key,table_index,section,row_index,Sondeur | Sondeur | Sondeur | Sondeur,Date | Date | Date | Date,EXG | EXG | EXG | Unnamed: 2_level_3,NFP[a] | DVG | DVG | Unnamed: 3_level_3,NFP[a] | ECO | ECO | Unnamed: 4_level_3,NFP[a] | DVC | DVC | Unnamed: 5_level_3,NFP[a] | DVD | DVD | Unnamed: 6_level_3,DVG | LR[b] | LR[b] | Unnamed: 7_level_3,ECO | UPF (DLF-LP) | UPF (DLF-LP) | Unnamed: 8_level_3,DVC | REC | REC | Unnamed: 9_level_3,ENS | Autres | Autres | Unnamed: 10_level_3,ENS | Unnamed: 11_level_1 | Unnamed: 11_level_2 | Unnamed: 11_level_3,ENS | Unnamed: 12_level_1 | Unnamed: 12_level_2 | Unnamed: 12_level_3,ENS | Unnamed: 13_level_1 | Unnamed: 13_level_2 | Unnamed: 13_level_3,ENS | Unnamed: 14_level_1 | Unnamed: 14_level_2 | Unnamed: 14_level_3,DVD | Unnamed: 15_level_1 | Unnamed: 15_level_2 | Unnamed: 15_level_3,LR[b] | Unnamed: 16_level_1 | Unnamed: 16_level_2 | Unnamed: 16_level_3,RN et alliés | Unnamed: 17_level_1 | Unnamed: 17_level_2 | Unnamed: 17_level_3,RN et alliés | Unnamed: 18_level_1 | Unnamed: 18_level_2 | Unnamed: 18_level_3,UPF (DLF-LP) | Unnamed: 19_level_1 | Unnamed: 19_level_2 | Unnamed: 19_level_3,REC | Unnamed: 20_level_1 | Unnamed: 20_level_2 | Unnamed: 20_level_3,Autres | Unnamed: 21_level_1 | Unnamed: 21_level_2 | Unnamed: 21_level_3,row_links_json,Sondeur | Sondeur | Sondeur,Date | Date | Date,Échantillon | Échantillon | Échantillon,LO | Charlon | Unnamed: 3_level_2,REV (NFP) | Mortreux | Unnamed: 4_level_2,REN (Ensemble) | Darmanin | Unnamed: 5_level_2,RES | Brazon | Unnamed: 6_level_2,LR | Garcia | Unnamed: 7_level_2,RN | Verbrugghe | Unnamed: 8_level_2,REC | Viguie-Desplaces | Unnamed: 9_level_2,REV (NFP) | Mortreux | Unnamed: 3_level_2,REN (Ensemble) | Darmanin | Unnamed: 4_level_2,RN | Verbrugghe | Unnamed: 5_level_2,LO | Gasc | Unnamed: 3_level_2,LFI (NFP) | Czapla | Unnamed: 4_level_2,DVG | Cahuzac | Unnamed: 5_level_2,LR | Lepers | Unnamed: 6_level_2,RN | Cousin | Unnamed: 7_level_2,LFI (NFP) | Czapla | Unnamed: 3_level_2,DVG | Cahuzac | Unnamed: 4_level_2,RN | Cousin | Unnamed: 5_level_2,LO | Langouet | Unnamed: 3_level_2,LFI (NFP) | Salerno | Unnamed: 4_level_2,HOR (Ensemble) | Monetti | Unnamed: 5_level_2,EAC | Ben Moulay | Unnamed: 6_level_2,LR | Vanier-Guérin | Unnamed: 7_level_2,RAD (RN) | Ciotti | Unnamed: 8_level_2,DIV | Bovis | Unnamed: 9_level_2,DIV | Wahid Spach | Unnamed: 10_level_2,LFI (NFP) | Salerno | Unnamed: 3_level_2,HOR (Ensemble) | Monetti | Unnamed: 4_level_2,RAD (RN) | Ciotti | Unnamed: 5_level_2,LO | Jochaud | Unnamed: 3_level_2,NPA-R | Caudron | Unnamed: 4_level_2,PRCF | Duterte | Unnamed: 5_level_2,LFI (NFP) | Ali Ben Ali | Unnamed: 6_level_2,LFI diss. | Corbière | Unnamed: 7_level_2,AC | Verhaeghe | Unnamed: 8_level_2,HOR (Ensemble) | Breteau | Unnamed: 9_level_2,DVD | Toche | Unnamed: 10_level_2,RN | Trova | Unnamed: 11_level_2,DIV | Atlani | Unnamed: 12_level_2,LFI (NFP) | Ali Ben Ali | Unnamed: 3_level_2,LFI diss. | Corbière | Unnamed: 4_level_2,REN (Ensemble) | Borne | Unnamed: 3_level_2,RN | Calbrix | Unnamed: 4_level_2,Sondeur | Sondeur,Date | Date,Panel | Panel,NFP | Ne sait pas,RN | Unnamed: 4_level_1,Ne sait pas | Unnamed: 5_level_1,ENS | Ne sait pas,NFP[a] (LFI-PCF-EELV-PS) | Unnamed: 3_level_1,DVG | Unnamed: 4_level_1,ENS (RE-MoDem-HOR-PRV-UDI) | Unnamed: 5_level_1,DVD | Unnamed: 6_level_1,LR[b] | Unnamed: 7_level_1,RN et alliés | Unnamed: 8_level_1,UPF (DLF-LP) | Unnamed: 9_level_1,Autres | Unnamed: 10_level_1,Alliance,Parti ou groupe,Parti ou groupe.1,Sièges projetés,v · m Sondages préélectoraux en France,v · m Sondages préélectoraux en France.1,0,1
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,0,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,1,LFI,PCF,EELV,PS,RE,MoDem,HOR,PRV,UDI,LR (Ciotti)[c],RN,,,,,,,,,,,,"[{""label"": ""LFI"", ""url"": ""https://fr.wikipedia.org/wiki/La_France_insoumise""}, {""label"": ""PCF"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_communiste_fran%C3%A7ais""}, {""label"": ""EELV"", ""url"": ""https://fr.wikipedia.org/wiki/Les_%C3%89cologistes""}, {""label"": ""PS"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_socialiste_(France)""}, {""label"": ""RE"", ""url"": ""https://fr.wikipedia.org/wiki/Renaissance_(parti)""}, {""label"": ""MoDem"", ""url"": ""https://fr.wikipedia.org/wiki/Mouvement_d%C3%A9mocrate_(France)""}, {""label"": ""HOR"", ""url"": ""https://fr.wikipedia.org/wiki/Horizons""}, {""label"": ""PRV"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_radical_(France)""}, {""label"": ""UDI"", ""url"": ""https://fr.wikipedia.org/wiki/Union_des_d%C3%A9mocrates_et_ind%C3%A9pendants""}, {""label"": ""LR"", ""url"": ""https://fr.wikipedia.org/wiki/Les_R%C3%A9publicains""}, {""label"": ""Ciotti"", ""url"": ""https://fr.wikipedia.org/wiki/Union_des_droites_pour_la_R%C3%A9publique""}, {""label"": ""RN"", ""url"": ""https://fr.wikipedia.org/wiki/Rassemblement_national""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,2,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,3,Résultats,30 juin 2024,"1,14 %","28,06 %","28,06 %","28,06 %","28,06 %","1,53 %","0,57 %","1,22 %","20,04 %","20,04 %","20,04 %","20,04 %","20,04 %","3,60 %","6,57 %","3,96 %","29,26 %",—,"0,75 %","3,3 %","[{""label"": ""Résultats"", ""url"": ""https://www.resultats-elections.interieur.gouv.fr/legislatives2024/""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,4,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,Arrêt de publication des sondages pour le premier tour (29 juin 2024).,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,5,Ipsos,27-28 juin 2024,1%,29 %,29 %,29 %,29 %,1%,—,"1,5%",20 %,20 %,20 %,20 %,—[d],8 %,8 %,4 %,32 %,—,1 %,"2,5 %[e]","[{""label"": ""Ipsos"", ""url"": ""https://www.ipsos.com/sites/default/files/ipsos-le-monde-legislatives-premier-tour-intentions-de-vote-28-juin-2024.pdf""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,6,Harris Interactive,27-28 juin 2024,"0,5 %",28 %,28 %,28 %,28 %,1 %,—,1 %,20 %,20 %,20 %,20 %,20 %,2 %,6 %,3 %,34 %,—,2 %,"2,5 %[e]","[{""label"": ""Harris Interactive"", ""url"": ""https://harris-interactive.fr/wp-content/uploads/sites/6/2024/06/KYJUGTRUJH5H.pdf""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,7,Ifop,25-28 juin 2024,1 %,29 %,29 %,29 %,29 %,1 %,—,"0,5 %","20,5 %","20,5 %","20,5 %","20,5 %","20,5 %",7 %,7 %,"36,5 %","36,5 %",—,"1,5 %",3 %,"[{""label"": ""Ifop"", ""url"": ""https://www.ifop.com/wp-content/uploads/2024/06/ROL24_20240628.pdf""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,8,Odoxa,26-27 juin 2024,1 %,"27,5 %","27,5 %","27,5 %","27,5 %","1,5 %",1 %,—,21 %,21 %,21 %,21 %,21 %,2 %,7 %,35 %,35 %,—,"1,5 %","2,5 %","[{""label"": ""Odoxa"", ""url"": ""https://www.odoxa.fr/sondage/participation-massive-record-de-triangulaires-et-rn-a-portee-de-majorite-absolue/""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur les élections législatives françaises de 2024,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_les_%C3%A9lections_l%C3%A9gislatives_fran%C3%A7aises_de_2024,legislatives_2024,0,Sondages nationaux,9,Opinion Way,26-27 juin 2024,1 %,28 %,28 %,28 %,28 %,1 %,<1 %,—,20 %,20 %,20 %,20 %,20 %,2 %,6 %,37 %,37 %,—,1 %,4 %,"[{""label"": ""Opinion Way"", ""url"": ""https://www.opinion-way.com/fr/component/edocman/opinionway-et-vae-solis-pour-les-echos-et-radio-classique-legitrack-vague-3-27-juin-2024/viewdocument/3434.html?Itemid=0""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
