source_page,source_url,page_key,block_index,section,subsection,tag,text,links_json
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,,,p,"Cette page dresse la liste des sondages d'opinions relatifs à l' élection présidentielle française de 2027 , qui se tiendra les dimanches 18 avril 2027 et 2 mai 2027 .","[{""label"": ""sondages d'opinions"", ""url"": ""https://fr.wikipedia.org/wiki/Sondage_d%27opinion""}, {""label"": ""élection présidentielle française de 2027"", ""url"": ""https://fr.wikipedia.org/wiki/%C3%89lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027""}]"
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,1,,,p,"Tous les sondages de cette liste, sauf mention contraire, se conforment aux règles de la Commission des sondages et appliquent la méthode dite des quotas.","[{""label"": ""Commission des sondages"", ""url"": ""https://fr.wikipedia.org/wiki/Commission_des_sondages""}]"
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,2,,,p,Une couleur arbitraire est associée à chaque institut de sondage ; ces couleurs sont une aide visuelle et ne correspondent pas à une tendance politique.,[]
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,3,,,p,"Les résultats de ces sondages sont à interpréter avec prudence. Depuis 1995 [ a ] , les sondages conduits un an avant le scrutin se sont révélés peu conformes aux résultats finaux [ 1 ] , [ 2 ] . Ces écarts résultent notamment des difficultés pour les sondeurs d'anticiper les changements ayant lieu dans l'année précédant l'élection, comme par exemple l'apparition de nouveaux candidats, les nominations à l'issue de primaires , ou encore les alliances entre partis, entrainant ainsi des concentrations ou des dispersions de voix au sein d'un électorat [ 1 ] . De ce fait, les sondages ont tendance à gagner en précision au long de la campagne [ 3 ] .","[{""label"": ""1995"", ""url"": ""https://fr.wikipedia.org/wiki/%C3%89lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_1995""}, {""label"": ""primaires"", ""url"": ""https://fr.wikipedia.org/wiki/%C3%89lection_primaire""}]"
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,4,,,p,La plupart des sondages sont publiés accompagnés d'une présentation des intervalles de confiance à 95 %. Le tableau résume les intervalles de confiance selon la taille de l’échantillon (ou du sous-échantillon).,[]
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,5,,,p,"Si pour un échantillon (sous-échantillon) de 1 000 personnes le candidat reçoit 10 % (ou 90 %) pour d'intentions de vote, l'incertitude est de 3 points pour un niveau de confiance de 95 %. Il y a donc 95 % de chance que son score soit compris entre 7 et 13 % (respectivement 87 % - 93 %). La table à 95 % fournie est la plus usitée (compromis entre erreur et fiabilité de l'information). Il existe des tables présentant des intervalles de confiance à 90 ou 99 % moins souvent publiées. Elles mettent en évidence le fait que plus on veut une confiance élevée, plus on augmente la plage d'incertitude.",[]
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,6,,,p,"En fait, l'incertitude est inférieure pour des effectifs stratifiés comme avec la méthode des quotas. À noter que la base de comparaison doit être cohérente : il faut soit donner le pourcentage par rapport à l'effectif total y compris abstention, blanc et NSPP (Ne Se Prononçant Pas), soit N doit être limité aux intentions de vote pour un candidat quand l'on veut que la somme des scores fasse 100 % comme ci-dessous. Par exemple à 25 % d'abstention, 1 000 sondés ne correspondent qu'à 750 exprimés pour un candidat, ce qui monte l'incertitude à +- 3,6 %.",[]
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,7,,,p,Remarque : la méthode des quotas empêche en réalité le calcul de l'intervalle de confiance et prive donc la publication de cet intervalle de toute justification mathématique [ 4 ] .,[]
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,8,,,p,"Voir la référence, on trouve sur toutes les notices techniques de l' institut Ipsos , en haut de la page 3 : « Le calcul n’est justifié que pour les sondages aléatoires. Il ne peut pas être déterminé dans le cas de sondages par quotas (...) ».","[{""label"": ""institut Ipsos"", ""url"": ""https://fr.wikipedia.org/wiki/Ipsos""}]"
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,9,,,p,"Note : Tous les scénarios envisagés jusqu'à présent impliquent un candidat du Rassemblement national, soit Marine Le Pen, soit Jordan Bardella.",[]
