source_page,source_url,page_key,table_index,section,row_index,Sondeur | Sondeur | Sondeur,Date | Date | Date,Échantillon | Échantillon | Échantillon,Unnamed: 3_level_0 | Arthaud (LO) | Unnamed: 3_level_2,Unnamed: 4_level_0 | Mélenchon (LFI) | Unnamed: 4_level_2,Unnamed: 5_level_0 | Roussel (PCF) | Unnamed: 5_level_2,Unnamed: 6_level_0 | Tondelier[b] (LE) | Unnamed: 6_level_2,Unnamed: 7_level_0 | Glucksmann[b] (PP)[b] | Unnamed: 7_level_2,Unnamed: 8_level_0 | Attal[b] (RE) | Unnamed: 8_level_2,Unnamed: 9_level_0 | Philippe (HOR) | Unnamed: 9_level_2,Unnamed: 10_level_0 | Villepin (LFH) | Unnamed: 10_level_2,Unnamed: 11_level_0 | Retailleau (LR) | Unnamed: 11_level_2,Unnamed: 12_level_0 | Dupont-Aignan (DLF) | Unnamed: 12_level_2,Unnamed: 13_level_0 | Candidat RN | Unnamed: 13_level_2,Unnamed: 14_level_0 | Zemmour[b] (REC) | Unnamed: 14_level_2,Autre | Autre | Unnamed: 15_level_2,row_links_json,Unnamed: 4_level_0 | Poutou[d] (NPA-A) | Unnamed: 4_level_2,Unnamed: 5_level_0 | Mélenchon (LFI) | Unnamed: 5_level_2,Unnamed: 6_level_0 | Roussel (PCF) | Unnamed: 6_level_2,Unnamed: 7_level_0 | Tondelier (LE) | Unnamed: 7_level_2,Unnamed: 8_level_0 | Candidat PS / PP | Unnamed: 8_level_2,Unnamed: 9_level_0 | Candidat EPR | Unnamed: 9_level_2,Unnamed: 10_level_0 | Candidat EPR | Unnamed: 10_level_2,Unnamed: 11_level_0 | Villepin (LFH) | Unnamed: 11_level_2,Unnamed: 12_level_0 | Candidat LR | Unnamed: 12_level_2,Unnamed: 13_level_0 | Dupont-Aignan (DLF) | Unnamed: 13_level_2,Unnamed: 14_level_0 | Candidat RN | Unnamed: 14_level_2,Unnamed: 15_level_0 | Zemmour[b] (REC) | Unnamed: 15_level_2,Autres | Autres | Unnamed: 16_level_2,Unnamed: 17_level_0 | Unnamed: 17_level_1 | Unnamed: 17_level_2,Unnamed: 6_level_0 | Mélenchon[b] (LFI) | Unnamed: 6_level_2,Unnamed: 7_level_0 | Faure[b] (PS) | Unnamed: 7_level_2,Unnamed: 8_level_0 | Tondelier[b] (LE) | Unnamed: 8_level_2,Unnamed: 9_level_0 | Candidat ENS | Unnamed: 9_level_2,Unnamed: 10_level_0 | Candidat ENS | Unnamed: 10_level_2,Unnamed: 11_level_0 | Wauquiez[b] (LR) | Unnamed: 11_level_2,Unnamed: 12_level_0 | Lassalle (RES) | Unnamed: 12_level_2,Unnamed: 14_level_0 | Le Pen[b] (RN) | Unnamed: 14_level_2,Unnamed: 15_level_0 | Zemmour (REC) | Unnamed: 15_level_2,Unnamed: 7_level_0 | Candidat PS/DVG | Unnamed: 7_level_2,Unnamed: 8_level_0 | Candidat EELV | Unnamed: 8_level_2,Unnamed: 10_level_0 | Wauquiez (LR) | Unnamed: 10_level_2,Unnamed: 11_level_0 | Lassalle (RES) | Unnamed: 11_level_2,Unnamed: 13_level_0 | Le Pen[b] (RN) | Unnamed: 13_level_2,Unnamed: 14_level_0 | Zemmour (REC) | Unnamed: 14_level_2,Dates | Dates | Dates,Unnamed: 4_level_0 | Poutou (NPA-A) | Unnamed: 4_level_2,Unnamed: 6_level_0 | Mélenchon (LFI) | Unnamed: 6_level_2,Unnamed: 7_level_0 | Hidalgo (PS) | Unnamed: 7_level_2,Unnamed: 8_level_0 | Jadot (EELV) | Unnamed: 8_level_2,Unnamed: 9_level_0 | Macron (REN) | Unnamed: 9_level_2,Unnamed: 10_level_0 | Pécresse (LR) | Unnamed: 10_level_2,Unnamed: 13_level_0 | Le Pen (RN) | Unnamed: 13_level_2,Unnamed: 3_level_0 | Attal (RE) | Unnamed: 3_level_2,Unnamed: 4_level_0 | Bardella (RN) | Unnamed: 4_level_2,Unnamed: 3_level_0 | Mélenchon (LFI) | Unnamed: 3_level_2,Unnamed: 3_level_0 | Philippe (HOR) | Unnamed: 3_level_2,Unnamed: 3_level_0 | Glucksmann (PP) | Unnamed: 3_level_2,Unnamed: 3_level_0 | Retailleau (LR) | Unnamed: 3_level_2,Unnamed: 4_level_0 | Le Pen (RN) | Unnamed: 4_level_2,Unnamed: 3_level_0 | Ruffin (D!) | Unnamed: 3_level_2,v · m Sondages préélectoraux en France,v · m Sondages préélectoraux en France.1,0,1
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,0,,,,,,,,,,,,,,,,,"[{""label"": ""Arthaud"", ""url"": ""https://fr.wikipedia.org/wiki/Nathalie_Arthaud""}, {""label"": ""LO"", ""url"": ""https://fr.wikipedia.org/wiki/Lutte_ouvri%C3%A8re""}, {""label"": ""Mélenchon"", ""url"": ""https://fr.wikipedia.org/wiki/Jean-Luc_M%C3%A9lenchon""}, {""label"": ""LFI"", ""url"": ""https://fr.wikipedia.org/wiki/La_France_insoumise""}, {""label"": ""Roussel"", ""url"": ""https://fr.wikipedia.org/wiki/Fabien_Roussel""}, {""label"": ""PCF"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_communiste_fran%C3%A7ais""}, {""label"": ""Tondelier"", ""url"": ""https://fr.wikipedia.org/wiki/Marine_Tondelier""}, {""label"": ""LE"", ""url"": ""https://fr.wikipedia.org/wiki/Les_%C3%89cologistes""}, {""label"": ""Glucksmann"", ""url"": ""https://fr.wikipedia.org/wiki/Rapha%C3%ABl_Glucksmann""}, {""label"": ""PP"", ""url"": ""https://fr.wikipedia.org/wiki/Place_publique_(parti_politique)""}, {""label"": ""Attal"", ""url"": ""https://fr.wikipedia.org/wiki/Gabriel_Attal""}, {""label"": ""RE"", ""url"": ""https://fr.wikipedia.org/wiki/Renaissance_(parti)""}, {""label"": ""Philippe"", ""url"": ""https://fr.wikipedia.org/wiki/%C3%89douard_Philippe""}, {""label"": ""HOR"", ""url"": ""https://fr.wikipedia.org/wiki/Horizons""}, {""label"": ""Villepin"", ""url"": ""https://fr.wikipedia.org/wiki/Dominique_de_Villepin""}, {""label"": ""LFH"", ""url"": ""https://fr.wikipedia.org/wiki/Dominique_de_Villepin#Retour_médiatique_depuis_2024_et_lancement_du_mouvement_La_France_humaniste""}, {""label"": ""Retailleau"", ""url"": ""https://fr.wikipedia.org/wiki/Bruno_Retailleau""}, {""label"": ""LR"", ""url"": ""https://fr.wikipedia.org/wiki/Les_R%C3%A9publicains""}, {""label"": ""Dupont-Aignan"", ""url"": ""https://fr.wikipedia.org/wiki/Nicolas_Dupont-Aignan""}, {""label"": ""DLF"", ""url"": ""https://fr.wikipedia.org/wiki/Debout_la_France""}, {""label"": ""RN"", ""url"": ""https://fr.wikipedia.org/wiki/Rassemblement_national""}, {""label"": ""Zemmour"", ""url"": ""https://fr.wikipedia.org/wiki/%C3%89ric_Zemmour""}, {""label"": ""REC"", ""url"": ""https://fr.wikipedia.org/wiki/Reconqu%C3%AAte_(parti_politique)""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,1,Ifop,26-28 mai,1 501,05,13,25,4,9,9,14,—,8,2,34 Bardella,4,—,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,2,Ifop,26-28 mai,1 501,05,13,35,4,10,—,18,25,9,2,34 Bardella,35,—,"[{""label"": ""Ifop"", ""url"": ""https://www.commission-des-sondages.fr/notices/files/notices/2026/mai/10193-pres-ifop-le-figaro-29-mai.pdf""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,3,Ifop,26-28 mai,1 501,05,13,3,4,11,16,—,3,10,25,34 Bardella,3,—,"[{""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,4,Ifop,26-28 mai,1 501,05,13,3,4,11,—,19,2,9,15,33 Le Pen,4,—,"[{""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,5,Ifop,26-28 mai,1 501,05,13,3,35,115,16,—,3,115,2,32 Le Pen,4,—,"[{""label"": ""Le Pen"", ""url"": ""https://fr.wikipedia.org/wiki/Marine_Le_Pen""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,6,Ifop,26-28 mai,1 501,05,14,4,5,8 Hollande (PS),—,20,—,9,15,34 Bardella,4,—,"[{""label"": ""Le Pen"", ""url"": ""https://fr.wikipedia.org/wiki/Marine_Le_Pen""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,7,Ifop,26-28 mai,1 501,1,135,35,5,8 Hollande (PS),185,—,—,10,2,35 Bardella,35,—,"[{""label"": ""Hollande"", ""url"": ""https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande""}, {""label"": ""PS"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_socialiste_(France)""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,8,Ifop,26-28 mai,1 501,05,125,3,4,9,—,20,—,9,2,34 Bardella,3,3 Ruffin,"[{""label"": ""Hollande"", ""url"": ""https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande""}, {""label"": ""PS"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_socialiste_(France)""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,9,Ifop,26-28 mai,1 501,05,135,6,4,4 Faure (PS),—,21,—,10,25,35 Bardella,35,—,"[{""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}, {""label"": ""Ruffin"", ""url"": ""https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Ruffin""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,10,Ifop,26-28 mai,1 501,15,15,11 Hollande (PS),11 Hollande (PS),11 Hollande (PS),—,22,—,10,25,34 Bardella,4,—,"[{""label"": ""Faure"", ""url"": ""https://fr.wikipedia.org/wiki/Olivier_Faure_(homme_politique)""}, {""label"": ""PS"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_socialiste_(France)""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,11,Ifop,26-28 mai,1 501,1,15,12 Glucksmann,12 Glucksmann,12 Glucksmann,—,22,—,10,3,33 Bardella,4,—,"[{""label"": ""Hollande"", ""url"": ""https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande""}, {""label"": ""PS"", ""url"": ""https://fr.wikipedia.org/wiki/Parti_socialiste_(France)""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,12,Harris,25-27 mai,1 744,1,15,3,3,10,—,17,—,9,2,34 Bardella,6,—,"[{""label"": ""Glucksmann"", ""url"": ""https://fr.wikipedia.org/wiki/Rapha%C3%ABl_Glucksmann""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,13,Harris,25-27 mai,1 744,1,15,4,3,11,14,—,—,10,2,34 Bardella,6,—,"[{""label"": ""Harris"", ""url"": ""https://tolunacorporate.com/wp-content/uploads/2026/05/Rapport-Toluna-Barometre-Presidentielle-2027-Vague-2-M6-RTL-Mai-2026.pdf""}, {""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,14,Harris,25-27 mai,1 744,1,14,3,3,11,—,19,—,10,2,31 Le Pen,6,—,"[{""label"": ""Bardella"", ""url"": ""https://fr.wikipedia.org/wiki/Jordan_Bardella""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,15,Harris,25-27 mai,1 744,1,15,4,3,11,15,—,—,11,2,32 Le Pen,6,—,"[{""label"": ""Le Pen"", ""url"": ""https://fr.wikipedia.org/wiki/Marine_Le_Pen""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de sondages sur l'élection présidentielle française de 2027,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,presidentielle_2027,0,Année 2026,16,Harris,25-27 mai,1 744,1,14,3,3,10,9,13,—,8,2,32 Bardella,5,—,"[{""label"": ""Le Pen"", ""url"": ""https://fr.wikipedia.org/wiki/Marine_Le_Pen""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
